Cn,Ch,Zy,Py
03402,黧,ㄌㄧˊ,lí
03403,剺,ㄌㄧˊ,lí
03404,嫠,ㄌㄧˊ,lí
03405,漦,ㄌㄧˊ,lí
03406,犛,(一)ㄌㄧˊ,(一)lí
03407,氂,(一)ㄌㄧˊ,(一)lí
03408,釐,(一)ㄌㄧˊ,(一)lí
03409,斄,ㄌㄧˊ,lí
03410,罹,ㄌㄧˊ,lí
03411,麗,(二)ㄌㄧˊ,(二)lí
03412,釃,(二)ㄌㄧˊ,(二)lí
03413,驪,ㄌㄧˊ,lí
03414,鸝,ㄌㄧˊ,lí
03415,鱺,ㄌㄧˊ,lí
03416,蠡,(二)ㄌㄧˊ,(二)lí
03417,劙,ㄌㄧˊ,lí
03418,李,ㄌㄧˇ,lǐ
03419,里,ㄌㄧˇ,lǐ
03420,俚,ㄌㄧˇ,lǐ
03421,浬,(一)ㄌㄧˇ,(一)lǐ
03422,哩,(三)ㄌㄧˇ,(三)lǐ
03423,娌,ㄌㄧˇ,lǐ
03424,理,ㄌㄧˇ,lǐ
03425,喱,ㄌㄧˇ,lǐ
03426,裡,ㄌㄧˇ,lǐ
03427,鋰,ㄌㄧˇ,lǐ
03428,鯉,ㄌㄧˇ,lǐ
03429,豊,ㄌㄧˇ,lǐ
03430,澧,ㄌㄧˇ,lǐ
03431,禮,ㄌㄧˇ,lǐ
03432,醴,ㄌㄧˇ,lǐ
03433,鱧,ㄌㄧˇ,lǐ
03434,蠡,(一)ㄌㄧˇ,(一)lǐ
03435,邐,ㄌㄧˇ,lǐ
03436,力,ㄌㄧˋ,lì
03437,屴,ㄌㄧˋ,lì
03438,荔,ㄌㄧˋ,lì
03439,立,ㄌㄧˋ,lì
03440,苙,ㄌㄧˋ,lì
03441,粒,ㄌㄧˋ,lì
03442,笠,ㄌㄧˋ,lì
03443,蒞,ㄌㄧˋ,lì
03444,鴗,ㄌㄧˋ,lì
03445,吏,ㄌㄧˋ,lì
03446,利,ㄌㄧˋ,lì
03447,俐,ㄌㄧˋ,lì
03448,猁,ㄌㄧˋ,lì
03449,琍,ㄌㄧˋ,lì
03450,莉,ㄌㄧˋ,lì
03451,痢,ㄌㄧˋ,lì
03452,沴,ㄌㄧˋ,lì
03453,例,ㄌㄧˋ,lì
03454,栵,ㄌㄧˋ,lì
03455,戾,ㄌㄧˋ,lì
03456,悷,ㄌㄧˋ,lì
03457,捩,(二)ㄌㄧˋ,(二)lì
03458,唳,ㄌㄧˋ,lì
03459,綟,ㄌㄧˋ,lì
03460,鬲,(二)ㄌㄧˋ,(二)lì
03461,鎘,(二)ㄌㄧˋ,(二)lì
03462,栗,ㄌㄧˋ,lì
03464,溧,ㄌㄧˋ,lì
03465,慄,ㄌㄧˋ,lì
03466,篥,ㄌㄧˋ,lì
03467,厤,ㄌㄧˋ,lì
03468,歷,ㄌㄧˋ,lì
03469,曆,ㄌㄧˋ,lì
03470,瀝,ㄌㄧˋ,lì
03471,壢,ㄌㄧˋ,lì
03472,嚦,ㄌㄧˋ,lì
03473,櫪,ㄌㄧˋ,lì
03474,轣,ㄌㄧˋ,lì
03475,靂,ㄌㄧˋ,lì
03476,詈,ㄌㄧˋ,lì
03477,厲,(一)ㄌㄧˋ,(一)lì
03478,勵,ㄌㄧˋ,lì
03479,癘,ㄌㄧˋ,lì
03480,礪,ㄌㄧˋ,lì
03481,糲,ㄌㄧˋ,lì
03482,蠣,ㄌㄧˋ,lì
03483,隸,ㄌㄧˋ,lì
03484,瓅,ㄌㄧˋ,lì
03485,櫟,ㄌㄧˋ,lì
03486,礫,ㄌㄧˋ,lì
03487,轢,ㄌㄧˋ,lì
03488,躒,(一)ㄌㄧˋ,(一)lì
03489,麗,(一)ㄌㄧˋ,(一)lì
03490,儷,ㄌㄧˋ,lì
03491,攦,ㄌㄧˋ,lì
03492,酈,ㄌㄧˋ,lì
03493,欐,ㄌㄧˋ,lì
03494,盭,ㄌㄧˋ,lì
03495,攭,(一)ㄌㄧˋ,(一)lì
03496,哩,(二)˙ㄌㄧ,(二)li
03497,倆,(二)ㄌㄧㄚˇ,(二)liǎ
03498,咧,(一)ㄌㄧㄝ,(一)liē
03499,咧,(二)ㄌㄧㄝˊ,(二)lié
03500,咧,(三)ㄌㄧㄝˇ,(三)liě
03501,列,ㄌㄧㄝˋ,liè
03502,冽,ㄌㄧㄝˋ,liè
03503,洌,ㄌㄧㄝˋ,liè
03504,烈,ㄌㄧㄝˋ,liè
03505,裂,ㄌㄧㄝˋ,liè
03506,趔,ㄌㄧㄝˋ,liè
03507,颲,ㄌㄧㄝˋ,liè
03508,鴷,ㄌㄧㄝˋ,liè
03509,劣,ㄌㄧㄝˋ,liè
03510,捩,(一)ㄌㄧㄝˋ,(一)liè
03511,脟,(一)ㄌㄧㄝˋ,(一)liè
03512,獵,ㄌㄧㄝˋ,liè
03513,邋,(二)ㄌㄧㄝˋ,(二)liè
03514,躐,ㄌㄧㄝˋ,liè
03515,鬣,ㄌㄧㄝˋ,liè
03516,撩,(二)ㄌㄧㄠ,(二)liāo
03517,聊,ㄌㄧㄠˊ,liáo
03518,漻,ㄌㄧㄠˊ,liáo
03519,寥,ㄌㄧㄠˊ,liáo
03520,憀,ㄌㄧㄠˊ,liáo
03521,繆,(五)ㄌㄧㄠˊ,(五)liáo
03522,飂,ㄌㄧㄠˊ,liáo
03523,膋,ㄌㄧㄠˊ,liáo
03524,僚,ㄌㄧㄠˊ,liáo
03525,潦,(三)ㄌㄧㄠˊ,(三)liáo
03526,寮,ㄌㄧㄠˊ,liáo
03527,撩,(一)ㄌㄧㄠˊ,(一)liáo
03528,嘹,ㄌㄧㄠˊ,liáo
03529,獠,ㄌㄧㄠˊ,liáo
03530,嫽,ㄌㄧㄠˊ,liáo
03531,燎,(三)ㄌㄧㄠˊ,(三)liáo
03532,遼,ㄌㄧㄠˊ,liáo
03533,療,ㄌㄧㄠˊ,liáo
03534,繚,ㄌㄧㄠˊ,liáo
03535,鐐,(一)ㄌㄧㄠˊ,(一)liáo
03536,飉,ㄌㄧㄠˊ,liáo
03537,鷯,ㄌㄧㄠˊ,liáo
03538,敹,ㄌㄧㄠˊ,liáo
03539,了,(一)ㄌㄧㄠˇ,(一)liǎo
03540,釕,(一)ㄌㄧㄠˇ,(一)liǎo
03541,燎,(二)ㄌㄧㄠˇ,(二)liǎo
03542,瞭,(一)ㄌㄧㄠˇ,(一)liǎo
03543,蓼,(二)ㄌㄧㄠˇ,(二)liǎo
03544,尥,ㄌㄧㄠˋ,liào
03545,料,ㄌㄧㄠˋ,liào
03546,釕,(二)ㄌㄧㄠˋ,(二)liào
03547,廖,ㄌㄧㄠˋ,liào
03548,撂,ㄌㄧㄠˋ,liào
03549,燎,(一)ㄌㄧㄠˋ,(一)liào
03550,瞭,(二)ㄌㄧㄠˋ,(二)liào
03551,鐐,(二)（又音）ㄌㄧㄠˋ,(二)（又音）liào
03552,溜,(二)ㄌㄧㄡ,(二)liū
03553,流,ㄌㄧㄡˊ,liú
03554,琉,ㄌㄧㄡˊ,liú
03555,硫,ㄌㄧㄡˊ,liú
03556,旒,ㄌㄧㄡˊ,liú
03557,鎏,ㄌㄧㄡˊ,liú
03558,留,ㄌㄧㄡˊ,liú
03559,榴,ㄌㄧㄡˊ,liú
03560,遛,(一)ㄌㄧㄡˊ,(一)liú
03561,瘤,ㄌㄧㄡˊ,liú
03562,鎦,ㄌㄧㄡˊ,liú
03563,餾,(一)ㄌㄧㄡˊ,(一)liú
03564,飀,ㄌㄧㄡˊ,liú
03565,騮,ㄌㄧㄡˊ,liú
03566,鶹,ㄌㄧㄡˊ,liú
03567,劉,ㄌㄧㄡˊ,liú
03568,瀏,ㄌㄧㄡˊ,liú
03569,懰,ㄌㄧㄡˊ,liú
03570,疁,ㄌㄧㄡˊ,liú
03571,鏐,ㄌㄧㄡˊ,liú
03572,柳,ㄌㄧㄡˇ,liǔ
03573,綹,ㄌㄧㄡˇ,liǔ
03574,罶,ㄌㄧㄡˇ,liǔ
03575,六,(一)ㄌㄧㄡˋ,(一)liù
03576,&fec6._104_0.gif;,ㄌㄧㄡˋ,liù
03577,陸,(二)ㄌㄧㄡˋ,(二)liù
03578,溜,(一)ㄌㄧㄡˋ,(一)liù
03579,遛,(二)ㄌㄧㄡˋ,(二)liù
03580,蹓,ㄌㄧㄡˋ,liù
03581,霤,ㄌㄧㄡˋ,liù
03582,餾,(二)（又音）ㄌㄧㄡˋ,(二)（又音）liù
03583,鷚,ㄌㄧㄡˋ,liù
03584,帘,ㄌㄧㄢˊ,lián
03585,連,ㄌㄧㄢˊ,lián
03586,漣,ㄌㄧㄢˊ,lián
03587,嗹,ㄌㄧㄢˊ,lián
03588,璉,(一)ㄌㄧㄢˊ,(一)lián
03589,槤,ㄌㄧㄢˊ,lián
03590,蓮,ㄌㄧㄢˊ,lián
03591,褳,ㄌㄧㄢˊ,lián
03592,謰,ㄌㄧㄢˊ,lián
03593,鰱,ㄌㄧㄢˊ,lián
03594,廉,ㄌㄧㄢˊ,lián
03595,磏,ㄌㄧㄢˊ,lián
03596,濂,ㄌㄧㄢˊ,lián
03597,臁,ㄌㄧㄢˊ,lián
03598,簾,ㄌㄧㄢˊ,lián
03599,鬑,ㄌㄧㄢˊ,lián
03600,鐮,ㄌㄧㄢˊ,lián
03601,零,(二)ㄌㄧㄢˊ,(二)lián
03602,奩,ㄌㄧㄢˊ,lián
03603,憐,ㄌㄧㄢˊ,lián
03604,聯,ㄌㄧㄢˊ,lián
03605,蘞,(二)ㄌㄧㄢˊ,(二)lián
03606,璉,(二)ㄌㄧㄢˇ,(二)liǎn
03607,膦,(一)ㄌㄧㄢˇ,(一)liǎn
03608,臉,ㄌㄧㄢˇ,liǎn
03609,湅,ㄌㄧㄢˋ,liàn
03610,煉,ㄌㄧㄢˋ,liàn
03611,楝,ㄌㄧㄢˋ,liàn
03612,練,ㄌㄧㄢˋ,liàn
03613,鍊,ㄌㄧㄢˋ,liàn
03614,僆,ㄌㄧㄢˋ,liàn
03615,鏈,ㄌㄧㄢˋ,liàn
03616,殮,ㄌㄧㄢˋ,liàn
03617,斂,ㄌㄧㄢˋ,liàn
03618,襝,ㄌㄧㄢˋ,liàn
03619,瀲,ㄌㄧㄢˋ,liàn
03620,蘞,(一)ㄌㄧㄢˋ,(一)liàn
03621,戀,ㄌㄧㄢˋ,liàn
03622,攣,(二)（又音）ㄌㄧㄢˋ,(二)（又音）liàn
03623,林,ㄌㄧㄣˊ,lín
03624,淋,ㄌㄧㄣˊ,lín
03625,惏,(二)ㄌㄧㄣˊ,(二)lín
03626,琳,ㄌㄧㄣˊ,lín
03627,痳,ㄌㄧㄣˊ,lín
03628,綝,(二)ㄌㄧㄣˊ,(二)lín
03629,霖,ㄌㄧㄣˊ,lín
03630,粼,ㄌㄧㄣˊ,lín
03631,潾,ㄌㄧㄣˊ,lín
03632,鄰,ㄌㄧㄣˊ,lín
03633,嶙,ㄌㄧㄣˊ,lín
03634,遴,(一)ㄌㄧㄣˊ,(一)lín
03635,燐,ㄌㄧㄣˊ,lín
03636,璘,ㄌㄧㄣˊ,lín
03637,膦,(二)ㄌㄧㄣˊ,(二)lín
03638,磷,ㄌㄧㄣˊ,lín
03639,瞵,ㄌㄧㄣˊ,lín
03640,轔,ㄌㄧㄣˊ,lín
03641,麟,ㄌㄧㄣˊ,lín
03642,鱗,ㄌㄧㄣˊ,lín
03643,臨,ㄌㄧㄣˊ,lín
03644,菻,ㄌㄧㄣˇ,lǐn
03645,稟,(三)ㄌㄧㄣˇ,(三)lǐn
03646,凜,ㄌㄧㄣˇ,lǐn
03647,廩,ㄌㄧㄣˇ,lǐn
03648,懍,ㄌㄧㄣˇ,lǐn
03649,吝,ㄌㄧㄣˋ,lìn
03650,賃,(一)（語音）ㄌㄧㄣˋ,(一)（語音）lìn
03651,遴,(二)ㄌㄧㄣˋ,(二)lìn
03652,藺,ㄌㄧㄣˋ,lìn
03653,躪,ㄌㄧㄣˋ,lìn
03654,良,ㄌㄧㄤˊ,liáng
03655,俍,ㄌㄧㄤˊ,liáng
03656,莨,(二)ㄌㄧㄤˊ,(二)liáng
03657,踉,(一)ㄌㄧㄤˊ,(一)liáng
03658,亮,(二)ㄌㄧㄤˊ,(二)liáng
03659,涼,(一)ㄌㄧㄤˊ,(一)liáng
03660,諒,(二)ㄌㄧㄤˊ,(二)liáng
03661,輬,ㄌㄧㄤˊ,liáng
03662,梁,ㄌㄧㄤˊ,liáng
03663,粱,ㄌㄧㄤˊ,liáng
03664,量,(一)ㄌㄧㄤˊ,(一)liáng
03665,糧,ㄌㄧㄤˊ,liáng
03666,兩,ㄌㄧㄤˇ,liǎng
03667,倆,(一)ㄌㄧㄤˇ,(一)liǎng
03668,啢,ㄌㄧㄤˇ,liǎng
03669,裲,ㄌㄧㄤˇ,liǎng
03670,緉,ㄌㄧㄤˇ,liǎng
03671,魎,ㄌㄧㄤˇ,liǎng
03672,亮,(一)ㄌㄧㄤˋ,(一)liàng
03673,喨,ㄌㄧㄤˋ,liàng
03674,悢,ㄌㄧㄤˋ,liàng
03675,踉,(二)ㄌㄧㄤˋ,(二)liàng
03676,倞,(一)ㄌㄧㄤˋ,(一)liàng
03677,涼,(二)ㄌㄧㄤˋ,(二)liàng
03678,晾,ㄌㄧㄤˋ,liàng
03679,諒,(一)ㄌㄧㄤˋ,(一)liàng
03680,量,(二)ㄌㄧㄤˋ,(二)liàng
03681,輛,ㄌㄧㄤˋ,liàng
03682,拎,ㄌㄧㄥ,līng
03683,伶,ㄌㄧㄥˊ,líng
03684,泠,ㄌㄧㄥˊ,líng
03685,囹,ㄌㄧㄥˊ,líng
03686,玲,ㄌㄧㄥˊ,líng
03687,苓,ㄌㄧㄥˊ,líng
03688,瓴,ㄌㄧㄥˊ,líng
03689,羚,ㄌㄧㄥˊ,líng
03690,聆,ㄌㄧㄥˊ,líng
03691,蛉,ㄌㄧㄥˊ,líng
03692,笭,ㄌㄧㄥˊ,líng
03693,翎,ㄌㄧㄥˊ,líng
03694,舲,ㄌㄧㄥˊ,líng
03695,詅,ㄌㄧㄥˊ,líng
03696,軨,ㄌㄧㄥˊ,líng
03697,零,(一)ㄌㄧㄥˊ,(一)líng
03698,鈴,ㄌㄧㄥˊ,líng
03699,鴒,ㄌㄧㄥˊ,líng
03700,齡,ㄌㄧㄥˊ,líng
03701,凌,ㄌㄧㄥˊ,líng
03702,淩,ㄌㄧㄥˊ,líng
03703,&3944_.png;,ㄌㄧㄥˊ,líng
03704,陵,ㄌㄧㄥˊ,líng
03705,菱,ㄌㄧㄥˊ,líng
03706,綾,ㄌㄧㄥˊ,líng
03707,輘,ㄌㄧㄥˊ,líng
03708,鯪,ㄌㄧㄥˊ,líng
03709,霝,ㄌㄧㄥˊ,líng
03710,酃,ㄌㄧㄥˊ,líng
03711,櫺,ㄌㄧㄥˊ,líng
03712,蘦,ㄌㄧㄥˊ,líng
03713,靈,ㄌㄧㄥˊ,líng
03714,醽,ㄌㄧㄥˊ,líng
03715,欞,ㄌㄧㄥˊ,líng
03716,領,ㄌㄧㄥˇ,lǐng
03717,嶺,ㄌㄧㄥˇ,lǐng
03718,另,ㄌㄧㄥˋ,lìng
03719,令,ㄌㄧㄥˋ,lìng
03720,嚕,ㄌㄨ,lū
03721,玈,ㄌㄨˊ,lú
03722,盧,ㄌㄨˊ,lú
03723,瀘,ㄌㄨˊ,lú
03724,廬,ㄌㄨˊ,lú
03725,壚,ㄌㄨˊ,lú
03726,嚧,ㄌㄨˊ,lú
03727,爐,ㄌㄨˊ,lú
03728,櫨,ㄌㄨˊ,lú
03729,蘆,ㄌㄨˊ,lú
03730,臚,ㄌㄨˊ,lú
03731,罏,ㄌㄨˊ,lú
03732,艫,ㄌㄨˊ,lú
03733,纑,ㄌㄨˊ,lú
03734,轤,ㄌㄨˊ,lú
03735,鑪,ㄌㄨˊ,lú
03736,顱,ㄌㄨˊ,lú
03737,鸕,ㄌㄨˊ,lú
03738,鱸,ㄌㄨˊ,lú
03739,鹵,ㄌㄨˇ,lǔ
03740,滷,ㄌㄨˇ,lǔ
03741,磠,ㄌㄨˇ,lǔ
03742,虜,(一)ㄌㄨˇ,(一)lǔ
03743,擄,(一)ㄌㄨˇ,(一)lǔ
03744,魯,ㄌㄨˇ,lǔ
03745,櫓,ㄌㄨˇ,lǔ
03746,鑥,ㄌㄨˇ,lǔ
03747,六,(二)ㄌㄨˋ,(二)lù
03748,甪,ㄌㄨˋ,lù
03749,角,(三)ㄌㄨˋ,(三)lù
03750,彔,ㄌㄨˋ,lù
03751,淥,ㄌㄨˋ,lù
03752,琭,ㄌㄨˋ,lù
03753,菉,(二)（讀音）ㄌㄨˋ,(二)（讀音）lù
03754,氯,(二)（又音）ㄌㄨˋ,(二)（又音）lù
03755,逯,ㄌㄨˋ,lù
03756,祿,ㄌㄨˋ,lù
03757,碌,ㄌㄨˋ,lù
03758,睩,ㄌㄨˋ,lù
03759,盝,ㄌㄨˋ,lù
03760,綠,(二)（讀音）ㄌㄨˋ,(二)（讀音）lù
03761,醁,ㄌㄨˋ,lù
03762,錄,ㄌㄨˋ,lù
03763,騄,ㄌㄨˋ,lù
03764,籙,ㄌㄨˋ,lù
03765,鹿,ㄌㄨˋ,lù
03766,漉,ㄌㄨˋ,lù
03767,摝,ㄌㄨˋ,lù
03768,䍡,ㄌㄨˋ,lù
03769,簏,ㄌㄨˋ,lù
03770,轆,ㄌㄨˋ,lù
03771,麓,ㄌㄨˋ,lù
03772,硉,ㄌㄨˋ,lù
03773,陸,(一)ㄌㄨˋ,(一)lù
03774,稑,ㄌㄨˋ,lù
03775,輅,ㄌㄨˋ,lù
03776,賂,ㄌㄨˋ,lù
03777,路,ㄌㄨˋ,lù
03778,潞,ㄌㄨˋ,lù
03779,璐,ㄌㄨˋ,lù
03780,露,(一)ㄌㄨˋ,(一)lù
03781,鷺,ㄌㄨˋ,lù
03782,僇,ㄌㄨˋ,lù
03783,蓼,(一)ㄌㄨˋ,(一)lù
03784,戮,ㄌㄨˋ,lù
03785,穋,ㄌㄨˋ,lù
03786,捋,(三)ㄌㄨㄛ,(三)luō
03787,攞,ㄌㄨㄛ,luō
03788,囉,(二)ㄌㄨㄛ,(二)luō
03789,腡,ㄌㄨㄛˊ,luó
03790,螺,ㄌㄨㄛˊ,luó
03791,鏍,ㄌㄨㄛˊ,luó
03792,騾,ㄌㄨㄛˊ,luó
03793,羅,ㄌㄨㄛˊ,luó
03794,儸,ㄌㄨㄛˊ,luó
03795,囉,(一)ㄌㄨㄛˊ,(一)luó
03796,玀,ㄌㄨㄛˊ,luó
03797,蘿,ㄌㄨㄛˊ,luó
03798,邏,ㄌㄨㄛˊ,luó
03799,籮,ㄌㄨㄛˊ,luó
03800,鑼,ㄌㄨㄛˊ,luó
03801,饠,ㄌㄨㄛˊ,luó
03802,覶,ㄌㄨㄛˊ,luó
03803,砢,(一)ㄌㄨㄛˇ,(一)luǒ
03804,倮,ㄌㄨㄛˇ,luǒ
03805,裸,ㄌㄨㄛˇ,luǒ
03806,臝,ㄌㄨㄛˇ,luǒ
03807,虜,(二)（又音）ㄌㄨㄛˇ,(二)（又音）luǒ
03808,擄,(二)（又音）ㄌㄨㄛˇ,(二)（又音）luǒ
03809,蓏,ㄌㄨㄛˇ,luǒ
03810,瘰,ㄌㄨㄛˇ,luǒ
03811,蠃,ㄌㄨㄛˇ,luǒ
03812,攭,(二)ㄌㄨㄛˇ,(二)luǒ
03813,洛,ㄌㄨㄛˋ,luò
03814,咯,(一)ㄌㄨㄛˋ,(一)luò
03815,烙,(二)（讀音）ㄌㄨㄛˋ,(二)（讀音）luò
03816,珞,ㄌㄨㄛˋ,luò
03817,硌,(二)ㄌㄨㄛˋ,(二)luò
03818,絡,(一)ㄌㄨㄛˋ,(一)luò
03819,酪,(一)（讀音）ㄌㄨㄛˋ,(一)（讀音）luò
03820,落,(一)ㄌㄨㄛˋ,(一)luò
03821,雒,ㄌㄨㄛˋ,luò
03822,駱,ㄌㄨㄛˋ,luò
03823,馲,(二)ㄌㄨㄛˋ,(二)luò
03824,漯,(二)ㄌㄨㄛˋ,(二)luò
03825,犖,ㄌㄨㄛˋ,luò
03826,濼,(一)ㄌㄨㄛˋ,(一)luò
03827,躒,(二)ㄌㄨㄛˋ,(二)luò
03828,巒,ㄌㄨㄢˊ,luán
03829,孌,(一)ㄌㄨㄢˊ,(一)luán
03830,孿,(一)ㄌㄨㄢˊ,(一)luán
03831,欒,ㄌㄨㄢˊ,luán
03832,羉,ㄌㄨㄢˊ,luán
03833,臠,(一)ㄌㄨㄢˊ,(一)luán
03835,鑾,ㄌㄨㄢˊ,luán
03836,鸞,ㄌㄨㄢˊ,luán
03837,卵,ㄌㄨㄢˇ,luǎn
03838,脟,(二)ㄌㄨㄢˇ,(二)luǎn
03839,亂,ㄌㄨㄢˋ,luàn
03840,掄,(二)ㄌㄨㄣ,(二)lūn
03841,侖,ㄌㄨㄣˊ,lún
03842,倫,ㄌㄨㄣˊ,lún
03843,淪,ㄌㄨㄣˊ,lún
03844,掄,(一)ㄌㄨㄣˊ,(一)lún
03845,崙,ㄌㄨㄣˊ,lún
03846,圇,ㄌㄨㄣˊ,lún
03847,&fef6._104_0.gif;,ㄌㄨㄣˊ,lún
03848,綸,(一)ㄌㄨㄣˊ,(一)lún
03849,論,(二)ㄌㄨㄣˊ,(二)lún
03850,輪,ㄌㄨㄣˊ,lún
03851,論,(一)ㄌㄨㄣˋ,(一)lùn
03852,隆,ㄌㄨㄥˊ,lóng
03853,癃,ㄌㄨㄥˊ,lóng
03854,窿,ㄌㄨㄥˊ,lóng
03855,龍,ㄌㄨㄥˊ,lóng
03856,瀧,(一)ㄌㄨㄥˊ,(一)lóng
03857,嚨,ㄌㄨㄥˊ,lóng
03858,巃,ㄌㄨㄥˊ,lóng
03859,瓏,ㄌㄨㄥˊ,lóng
03860,櫳,ㄌㄨㄥˊ,lóng
03861,蘢,ㄌㄨㄥˊ,lóng
03862,曨,ㄌㄨㄥˊ,lóng
03863,朧,ㄌㄨㄥˊ,lóng
03864,礱,ㄌㄨㄥˊ,lóng
03865,矓,ㄌㄨㄥˊ,lóng
03866,聾,ㄌㄨㄥˊ,lóng
03867,籠,(一)ㄌㄨㄥˊ,(一)lóng
03868,儱,ㄌㄨㄥˇ,lǒng
03869,壟,ㄌㄨㄥˇ,lǒng
03870,攏,ㄌㄨㄥˇ,lǒng
03871,隴,ㄌㄨㄥˇ,lǒng
03872,籠,(二)ㄌㄨㄥˇ,(二)lǒng
03873,弄,(二)（讀音）ㄌㄨㄥˋ,(二)（讀音）lòng
03874,閭,ㄌㄩˊ,lǘ
03875,櫚,ㄌㄩˊ,lǘ
03876,氀,ㄌㄩˊ,lǘ
03877,瘻,(二)ㄌㄩˊ,(二)lǘ
03878,貗,(二)（又音）ㄌㄩˊ,(二)（又音）lǘ
03879,驢,ㄌㄩˊ,lǘ
03880,呂,ㄌㄩˇ,lǚ
03881,侶,ㄌㄩˇ,lǚ
03882,郘,ㄌㄩˇ,lǚ
03883,梠,ㄌㄩˇ,lǚ
03884,鋁,ㄌㄩˇ,lǚ
03885,旅,ㄌㄩˇ,lǚ
03886,膂,ㄌㄩˇ,lǚ
03887,捋,(二)ㄌㄩˇ,(二)lǚ
03888,婁,(二)ㄌㄩˇ,(二)lǚ
03889,慺,(二)ㄌㄩˇ,(二)lǚ
03890,屢,ㄌㄩˇ,lǚ
03891,褸,ㄌㄩˇ,lǚ
03892,縷,ㄌㄩˇ,lǚ
03893,履,ㄌㄩˇ,lǚ
03894,律,ㄌㄩˋ,lǜ
03895,嵂,ㄌㄩˋ,lǜ
03896,率,(三)ㄌㄩˋ,(三)lǜ
03897,菉,(一)（語音）ㄌㄩˋ,(一)（語音）lǜ
03898,氯,(一)ㄌㄩˋ,(一)lǜ
03899,綠,(一)（語音）ㄌㄩˋ,(一)（語音）lǜ
03900,慮,ㄌㄩˋ,lǜ
03901,濾,ㄌㄩˋ,lǜ
03902,鑢,ㄌㄩˋ,lǜ
03903,壘,(二)ㄌㄩˋ,(二)lǜ
03904,掠,ㄌㄩㄝˋ,lüè
03905,略,ㄌㄩㄝˋ,lüè
03906,鋝,ㄌㄩㄝˋ,lüè
03907,孿,(二)（又音）ㄌㄩㄢˊ,(二)（又音）lüán
03908,攣,(一)ㄌㄩㄢˊ,(一)lüán
03909,孌,(二)（又音）ㄌㄩㄢˇ,(二)（又音）lüǎn
03910,臠,(二)（又音）ㄌㄩㄢˇ,(二)（又音）lüǎn
03911,旮,ㄍㄚ,gā
03912,釓,ㄍㄚ,gā
03913,嘎,(一)ㄍㄚ,(一)gā
03914,軋,(二)ㄍㄚˊ,(二)gá
03915,嘎,(二)ㄍㄚˊ,(二)gá
03916,噶,(一)ㄍㄚˊ,(一)gá
03917,玍,ㄍㄚˇ,gǎ
03918,尬,(一)ㄍㄚˋ,(一)gà
03919,價,(二)˙ㄍㄚ,(二)ga
03920,戈,ㄍㄜ,gē
03921,肐,ㄍㄜ,gē
03922,疙,ㄍㄜ,gē
03923,紇,(二)ㄍㄜ,(二)gē
03924,咯,(三)ㄍㄜ,(三)gē
03925,胳,ㄍㄜ,gē
03926,擱,ㄍㄜ,gē
03927,牁,ㄍㄜ,gē
03928,哥,ㄍㄜ,gē
03929,歌,ㄍㄜ,gē
03930,割,ㄍㄜ,gē
03931,鴿,ㄍㄜ,gē
03932,革,(一)ㄍㄜˊ,(一)gé
03933,挌,ㄍㄜˊ,gé
03934,咯,(四)（又音）ㄍㄜˊ,(四)（又音）gé
03935,格,ㄍㄜˊ,gé
03936,茖,ㄍㄜˊ,gé
03937,觡,ㄍㄜˊ,gé
03938,閣,ㄍㄜˊ,gé
03939,骼,ㄍㄜˊ,gé
03940,郃,(二)ㄍㄜˊ,(二)gé
03941,蛤,(一)ㄍㄜˊ,(一)gé
03942,閤,(一)ㄍㄜˊ,(一)gé
03943,搿,ㄍㄜˊ,gé
03944,頜,(一)ㄍㄜˊ,(一)gé
03945,韐,ㄍㄜˊ,gé
03946,鬲,(一)ㄍㄜˊ,(一)gé
03947,嗝,ㄍㄜˊ,gé
03948,隔,ㄍㄜˊ,gé
03949,槅,ㄍㄜˊ,gé
03950,膈,ㄍㄜˊ,gé
03951,翮,(二)（又音）ㄍㄜˊ,(二)（又音）gé
03952,鎘,(一)ㄍㄜˊ,(一)gé
03953,裓,ㄍㄜˊ,gé
03954,葛,(一)ㄍㄜˊ,(一)gé
03955,噶,(二)ㄍㄜˊ,(二)gé
03956,轕,ㄍㄜˊ,gé
03957,合,(二)ㄍㄜˇ,(二)gě
03958,個,(三)ㄍㄜˇ,(三)gě
03959,哿,(二)（又音）ㄍㄜˇ,(二)（又音）gě
03960,笴,ㄍㄜˇ,gě
03961,舸,ㄍㄜˇ,gě
03962,葛,(二)ㄍㄜˇ,(二)gě
03963,蓋,(二)ㄍㄜˇ,(二)gě
03964,各,ㄍㄜˋ,gè
03965,硌,(一)ㄍㄜˋ,(一)gè
03966,鉻,ㄍㄜˋ,gè
03967,虼,ㄍㄜˋ,gè
03968,個,(一)ㄍㄜˋ,(一)gè
03969,箇,ㄍㄜˋ,gè
03970,個,(二)˙ㄍㄜ,(二)ge
03971,垓,ㄍㄞ,gāi
03972,陔,ㄍㄞ,gāi
03973,荄,ㄍㄞ,gāi
03974,該,ㄍㄞ,gāi
03975,賅,ㄍㄞ,gāi
03976,改,ㄍㄞˇ,gǎi
03977,丐,ㄍㄞˋ,gài
03978,鈣,ㄍㄞˋ,gài
03979,溉,ㄍㄞˋ,gài
03980,概,ㄍㄞˋ,gài
03981,蓋,(一)ㄍㄞˋ,(一)gài
03982,戤,ㄍㄞˋ,gài
