Cn,Ch,Zy,Py
00134,伯,(二)（語音）ㄅㄞˇ,(二)（語音）bǎi
00135,佰,(一)（語音）ㄅㄞˇ,(一)（語音）bǎi
00136,柏,(二)（語音）ㄅㄞˇ,(二)（語音）bǎi
00137,把,(三)ㄅㄞˇ,(三)bǎi
00138,捭,(一)ㄅㄞˇ,(一)bǎi
00139,擺,ㄅㄞˇ,bǎi
00140,襬,(二)ㄅㄞˇ,(二)bǎi
00141,拜,ㄅㄞˋ,bài
00142,唄,(一)ㄅㄞˋ,(一)bài
00143,敗,ㄅㄞˋ,bài
00144,稗,ㄅㄞˋ,bài
00145,粺,ㄅㄞˋ,bài
00146,杯,ㄅㄟ,bēi
00147,盃,ㄅㄟ,bēi
00148,桮,ㄅㄟ,bēi
00149,卑,ㄅㄟ,bēi
00150,俾,(二)（又音）ㄅㄟ,(二)（又音）bēi
00151,庳,(二)ㄅㄟ,(二)bēi
00152,埤,(四)ㄅㄟ,(四)bēi
00153,椑,(一)ㄅㄟ,(一)bēi
00154,萆,(一)ㄅㄟ,(一)bēi
00155,碑,ㄅㄟ,bēi
00156,箄,(二)ㄅㄟ,(二)bēi
00157,鞞,(二)ㄅㄟ,(二)bēi
00158,鵯,ㄅㄟ,bēi
00159,背,(二)ㄅㄟ,(二)bēi
00160,揹,ㄅㄟ,bēi
00161,悲,ㄅㄟ,bēi
00162,藣,ㄅㄟ,bēi
00163,襬,(一)ㄅㄟ,(一)bēi
00164,北,(一)（語音）ㄅㄟˇ,(一)（語音）běi
00165,鉳,ㄅㄟˇ,běi
00166,北,(三)ㄅㄟˋ,(三)bèi
00167,邶,ㄅㄟˋ,bèi
00168,背,(一)ㄅㄟˋ,(一)bèi
00169,偝,ㄅㄟˋ,bèi
00170,褙,ㄅㄟˋ,bèi
00171,孛,(二)ㄅㄟˋ,(二)bèi
00172,悖,(二)ㄅㄟˋ,(二)bèi
00173,誖,ㄅㄟˋ,bèi
00174,貝,ㄅㄟˋ,bèi
00175,狽,ㄅㄟˋ,bèi
00176,萯,(二)ㄅㄟˋ,(二)bèi
00177,鋇,ㄅㄟˋ,bèi
00178,怫,(二)ㄅㄟˋ,(二)bèi
00179,牬,ㄅㄟˋ,bèi
00180,茇,(二)ㄅㄟˋ,(二)bèi
00181,倍,ㄅㄟˋ,bèi
00182,焙,ㄅㄟˋ,bèi
00183,碚,ㄅㄟˋ,bèi
00184,蓓,ㄅㄟˋ,bèi
00185,被,(一)ㄅㄟˋ,(一)bèi
00186,婢,(二)（又音）ㄅㄟˋ,(二)（又音）bèi
00187,貏,(二)（又音）ㄅㄟˋ,(二)（又音）bèi
00188,琲,ㄅㄟˋ,bèi
00189,輩,ㄅㄟˋ,bèi
00190,備,ㄅㄟˋ,bèi
00191,&fa67._104_0.gif;,ㄅㄟˋ,bèi
00192,犕,ㄅㄟˋ,bèi
00193,糒,ㄅㄟˋ,bèi
00194,憊,ㄅㄟˋ,bèi
00195,鞴,ㄅㄟˋ,bèi
00196,僻,(二)（語音）ㄅㄟˋ,(二)（語音）bèi
00197,避,(二)（又音）ㄅㄟˋ,(二)（又音）bèi
00198,臂,(二)（又音）ㄅㄟˋ,(二)（又音）bèi
00199,奰,ㄅㄟˋ,bèi
00200,唄,(二)˙ㄅㄟ,(二)bei
00201,勹,ㄅㄠ,bāo
00202,包,ㄅㄠ,bāo
00203,孢,ㄅㄠ,bāo
00204,炮,(三)ㄅㄠ,(三)bāo
00205,枹,(三)ㄅㄠ,(三)bāo
00206,苞,ㄅㄠ,bāo
00207,胞,ㄅㄠ,bāo
00208,鞄,(二)ㄅㄠ,(二)bāo
00209,齙,(一)（語音）ㄅㄠ,(一)（語音）bāo
00210,剝,(二)（語音）ㄅㄠ,(二)（語音）bāo
00211,煲,ㄅㄠ,bāo
00212,褒,ㄅㄠ,bāo
00213,雹,(一)ㄅㄠˊ,(一)báo
00214,薄,(二)（語音）ㄅㄠˊ,(二)（語音）báo
00215,保,ㄅㄠˇ,bǎo
00216,堡,(一)ㄅㄠˇ,(一)bǎo
00217,媬,ㄅㄠˇ,bǎo
00218,葆,ㄅㄠˇ,bǎo
00219,褓,ㄅㄠˇ,bǎo
00220,飽,ㄅㄠˇ,bǎo
00221,鴇,ㄅㄠˇ,bǎo
00222,寶,ㄅㄠˇ,bǎo
00223,刨,(二)ㄅㄠˋ,(二)bào
00224,抱,ㄅㄠˋ,bào
00225,菢,ㄅㄠˋ,bào
00226,鉋,ㄅㄠˋ,bào
00227,鮑,ㄅㄠˋ,bào
00228,趵,(一)ㄅㄠˋ,(一)bào
00229,豹,ㄅㄠˋ,bào
00230,報,ㄅㄠˋ,bào
00231,暴,(一)ㄅㄠˋ,(一)bào
00232,謈,(二)（又音）ㄅㄠˋ,(二)（又音）bào
00233,儤,ㄅㄠˋ,bào
00234,瀑,(二)ㄅㄠˋ,(二)bào
00235,爆,(一)ㄅㄠˋ,(一)bào
00236,犦,ㄅㄠˋ,bào
00237,虣,ㄅㄠˋ,bào
00238,扳,(一)ㄅㄢ,(一)bān
00239,班,ㄅㄢ,bān
00240,斑,ㄅㄢ,bān
